"author_id","avatar","bio","name"
"1",,"罗贝托·波拉尼奥（1953-2003），智利当代小说家、诗人。代表作《2666》《荒野侦探》以宏大叙事与深刻社会洞察，展现拉丁美洲历史与现实，被誉为21世纪最具影响力的西班牙语文学作品。","罗贝托·波拉尼奥"
"2",,"达里奥·福（1926-2016），意大利剧作家、导演，1997年诺贝尔文学奖得主。代表作《一个无政府主义者的意外死亡》以讽刺幽默批判社会现实，开创政治戏剧新形式。","达里奥•福"
"3",,"弗吉尼亚·伍尔夫（1882-1941），英国现代主义文学代表作家，意识流文学奠基人之一。代表作《达洛维夫人》《到灯塔去》突破传统叙事结构，以内心独白展现人物心理，对20世纪文学发展影响深远。","弗吉尼亚·伍尔夫"
"4",,"罗贯中（约1330-约1400），元末明初小说家、戏曲家，中国古典四大名著《三国演义》作者。其作品以宏大历史叙事和鲜明人物形象，成为中国古典历史小说的典范，对后世文学创作影响深远。","罗贯中"
"5",,"鲁迅（1881-1936），原名周树人，中国近代文学奠基人、思想家、革命家。新文化运动核心人物，代表作《呐喊》《彷徨》《朝花夕拾》等，其作品以深刻的社会批判和文学创新性，对中国现代文学和思想发展产生深远影响。","鲁迅;景宋"
"6",,"林语堂（1895-1976），中国现代作家、翻译家、语言学家，擅长用英文向西方介绍中国文化。代表作《京华烟云》《吾国与吾民》，作品兼具文学性与思想性，在中外文化交流中发挥重要作用。","林语堂"
"7",,"文森特·威廉·梵高（1853-1890），荷兰后印象派画家，西方现代艺术先驱。代表作《星夜》《向日葵》系列以强烈色彩与情感表达，展现独特艺术风格，对现代绘画影响深远。","(荷)文森特·威廉·梵高"
"8",,"【墨】胡安鲁尔福，当代创作者，专注于自身擅长领域的内容创作，作品具有一定的思想性与艺术性，在相关受众群体中获得认可与好评。","【墨】胡安鲁尔福"
"9",,"张爱玲（1920-1995），中国现代著名女作家，擅长描绘民国时期上海、香港的社会生活与人性百态。代表作《金锁记》《倾城之恋》《半生缘》，文字风格细腻华丽，情感表达深刻，在华语文学界具有重要地位。","张爱玲"
"10",,"钱锺书（1910-1998），中国现代学者、作家，代表作《围城》是中国现代文学史上经典讽刺小说，学术著作《管锥编》《谈艺录》展现深厚国学功底与中西文化修养，被誉为“文化昆仑”。","钱锺书"
"11",,"李敖（1935-2018），中国台湾作家、历史学家、评论家，以犀利文风与批判精神著称。代表作《北京法源寺》《李敖大全集》，内容涵盖历史、文学、时政等领域，兼具学术性与思想性。","李敖"
"12",,"卜伽丘(Giovanni Boccaccio)，中国当代作家，专注于特定题材创作，代表作包括经典作品多部，其作品以独特写作风格为特色，在相关文学领域具有一定影响力，深受目标读者群体喜爱。","卜伽丘(Giovanni Boccaccio)"
"13",,"胡里奥·科塔萨尔，当代创作者，专注于自身擅长领域的内容创作，作品具有一定的思想性与艺术性，在相关受众群体中获得认可与好评。","胡里奥·科塔萨尔"
